,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active,383.814,4.450340000000002,3.0,4.0,7.3872161432802645
1,CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,482.9030000000001,3.614320000000001,3.0,6.0,6.769551078621726
2,CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,intermediate,369.43200000000013,4.772000000000004,1.0,6.0,5.031517051446065
3,CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,inactive,283.287,2.3105600000000006,2.0,4.0,3.3010299956639813
4,CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,inactive,164.16,1.49,2.0,2.0,2.5228787452803374
5,CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],inactive,215.16799999999998,1.73096,1.0,5.0,4.017728766960432
6,CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,intermediate,539.9990000000001,3.228220000000002,3.0,7.0,5.274905478918531
7,CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,inactive,249.22199999999998,1.40098,2.0,5.0,3.5783960731301687
8,CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,active,236.234,1.55914,2.0,5.0,6.903089986991944
9,CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,inactive,214.224,2.13436,0.0,4.0,2.9030899869919438
10,CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,inactive,239.2779999999999,1.95376,0.0,4.0,3.2041199826559246
11,CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,inactive,186.17,1.52836,2.0,4.0,4.455931955649724
12,CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,inactive,197.18999999999997,0.052200000000000135,4.0,4.0,3.0457574905606752
13,CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,active,542.0150000000001,3.57442,5.0,7.0,9.346787486224656
14,CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,inactive,204.18499999999997,0.4900799999999999,3.0,4.0,5.0
15,CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,inactive,281.231,1.4673399999999999,2.0,7.0,4.221848749616356
16,CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,inactive,200.20100000000002,1.5102599999999997,1.0,5.0,3.221848749616356
17,CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,inactive,230.22299999999998,1.83996,1.0,5.0,3.070581074285707
18,CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,intermediate,202.16899999999998,1.2339599999999997,3.0,5.0,5.522878745280337
19,CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,intermediate,292.34600000000006,3.806600000000002,1.0,5.0,5.096910013008056
20,CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,inactive,218.16799999999998,1.5863800000000001,1.0,4.0,2.886056647693163
21,CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,inactive,162.14799999999997,1.0062799999999998,2.0,2.0,2.8664610916297826
22,CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,inactive,189.17,1.3837799999999998,2.0,3.0,3.7825160557860937
23,CHEMBL77737,N#CC(C#N)=Cc1ccncc1,inactive,155.15999999999997,1.51216,0.0,3.0,3.6020599913279625
24,CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,inactive,172.16199999999998,2.25626,0.0,2.0,2.9030899869919438
25,CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,inactive,215.16799999999998,1.7309600000000003,1.0,5.0,3.9030899869919438
26,CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active,326.791,4.587100000000003,1.0,5.0,7.853871964321762
27,CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,inactive,183.214,2.08946,1.0,3.0,2.9030899869919438
28,CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,inactive,227.223,0.93896,2.0,4.0,3.2041199826559246
29,CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,active,250.30500000000004,3.2640200000000004,2.0,4.0,6.0
30,CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active,312.76400000000007,4.435700000000002,2.0,5.0,7.0
31,CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,inactive,306.373,3.958000000000003,0.0,5.0,4.874518734299406
32,CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,inactive,185.186,1.7351599999999998,2.0,4.0,3.4559319556497243
33,CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,inactive,179.17499999999998,0.8144999999999998,3.0,3.0,4.853871964321762
34,CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,active,434.30100000000016,5.510200000000003,2.0,6.0,6.623423042943488
35,CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,active,456.34800000000035,4.247200000000003,2.0,7.0,7.1938200260161125
36,CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,inactive,190.118,-1.30384,2.0,5.0,2.853871964321762
37,CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,inactive,198.18099999999998,1.81536,1.0,3.0,3.3665315444204134
38,CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,active,511.9450000000004,2.895500000000001,4.0,7.0,7.657577319177793
39,CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,inactive,218.16799999999998,1.1196599999999999,4.0,6.0,4.8696662315049934
40,CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,inactive,200.19699999999997,1.8313599999999997,1.0,4.0,3.6020599913279625
41,CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,active,559.6300000000002,4.824820000000003,3.0,7.0,8.346787486224656
42,CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,active,250.30500000000004,2.8241000000000014,2.0,4.0,6.294136287716081
43,CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,inactive,215.16799999999995,1.7309599999999998,1.0,5.0,3.3467874862246565
44,CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,active,526.0160000000002,4.5219400000000025,4.0,6.0,6.698970004336019
45,CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,active,495.94600000000037,3.5295200000000015,3.0,6.0,6.6777807052660805
46,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,intermediate,470.53300000000024,3.3105200000000012,3.0,6.0,5.85078088734462
47,CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,inactive,191.161,1.8172799999999998,1.0,2.0,3.0793549985932125
48,CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,inactive,201.18099999999998,1.49068,1.0,3.0,4.327902142064283
49,CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,inactive,180.159,1.1956,3.0,3.0,2.9208187539523753
50,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,525.9720000000001,3.203920000000001,4.0,7.0,8.187086643357144
51,CHEMBL136492,CN(c1ccccc1)c1ncnc2ccc(N)cc12,intermediate,250.30499999999998,2.9799000000000007,1.0,4.0,5.075720713938118
52,CHEMBL77197,COc1cc(/C(C)=C(\C#N)C(=O)O)ccc1O,inactive,233.22299999999998,1.78248,2.0,4.0,2.958607314841775
53,CHEMBL305695,N#CC(C#N)=Cc1ccc(O)cc1,inactive,170.171,1.82276,1.0,3.0,3.2518119729937993
54,CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,inactive,422.48900000000026,2.0685199999999995,2.0,6.0,4.698970004336019
55,CHEMBL76587,N#CC(C#N)Cc1ccc(O)cc1,inactive,172.187,1.5980599999999998,1.0,3.0,2.1870866433571443
56,CHEMBL77456,COc1ccc(C=C(C#N)C#N)cc1,inactive,184.19799999999998,2.1257600000000005,0.0,3.0,2.9030899869919438
57,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,active,509.97300000000024,3.919620000000001,3.0,6.0,7.886056647693163
58,CHEMBL308048,N#C/C(=C\c1ccc(O)cc1)C(N)=O,inactive,188.18599999999998,0.7844799999999998,2.0,3.0,3.0969100130080562
59,CHEMBL311119,N#CC(C#N)=Cc1ccc(C=O)cc1,inactive,182.182,1.9296599999999997,0.0,3.0,4.221848749616356
60,CHEMBL76905,N#CC(C#N)=Cc1cc(O)cc(O)c1,inactive,186.17,1.52836,2.0,4.0,4.431798275933005
61,CHEMBL77524,COc1ccc(/C=C(\C#N)C(=O)O)cc1,inactive,203.19699999999997,1.68678,1.0,3.0,3.0793549985932125
62,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,active,413.7960000000001,3.8401200000000006,4.0,5.0,7.5376020021010435
63,CHEMBL307250,COc1cc(/C=C(\C#N)C(=O)O)ccc1O,inactive,219.196,1.39238,2.0,4.0,3.4881166390211256
64,CHEMBL80155,COc1cc(C=C(C#N)C#N)cc(O)c1O,intermediate,216.196,1.53696,2.0,5.0,5.221848749616356
65,CHEMBL343352,Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,active,270.72300000000007,3.609000000000001,2.0,4.0,6.698970004336019
66,CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,active,315.17400000000004,3.7181000000000015,2.0,4.0,7.356547323513812
